TTH	JAM	SITE	TYPE	NOMORHP	     
20230202 02 bts1 4G 70000000 
20230202 02 bts5 4G 70000005 
20230202 02 bts2 4G 70000006 
20230202 02 bts3 4G 70000007 
20230202 02 bts4 4G 70000008 
20230202 02 bts6 4G 70000009 
20230202 02 bts7 4G 70000010 
20230202 02 bts8 4G 70000011 
20230202 02 bts9 4G 70000012 
20230202 02 bts10 4G 70000013 
20230202 02 bts11 4G 70000014 
20230202 02 bts1 4G 70000015 
20230202 02 bts2 4G 70000016 
20230202 02 bts3 4G 70000017 
20230202 02 bts4 4G 70000018 
20230202 02 bts1 4G 70000019 
20230202 02 bts5 4G 70000023 
20230202 02 bts2 4G 70000024 
20230202 02 bts3 4G 70000025 
20230202 02 bts4 4G 70000026 
20230202 02 bts6 4G 70000027 
20230202 02 bts7 4G 70000028 
20230202 02 bts8 4G 70000029 
20230202 02 bts9 4G 70000030 
20230202 02 bts10 4G 70000031 
20230202 02 bts11 4G 70000032 
20230202 02 bts1 4G 70000033 
20230202 02 bts2 4G 70000034 
20230202 02 bts3 4G 70000035 
20230202 02 bts4 4G 70000036 
20230202 02 bts1 4G 70000026 
20230202 02 bts5 4G 70000030 
20230202 02 bts2 4G 70000031 
20230202 02 bts3 4G 70000032 
20230202 02 bts4 4G 70000033 
20230202 02 bts6 4G 70000034 
20230202 02 bts7 4G 70000035 
20230202 02 bts8 4G 70000036 
20230202 02 bts9 4G 70000037 
20230202 02 bts10 4G 70000038 
20230202 02 bts11 4G 70000039 
20230202 02 bts1 4G 70000040 
20230202 02 bts2 4G 70000041 
20230202 02 bts3 4G 70000042 
20230202 02 bts4 4G 70000043 
20230202 02 bts1 4G 70000044 
20230202 02 bts5 4G 70000048 
20230202 02 bts2 4G 70000049 
20230202 02 bts3 4G 70000050 
20230202 02 bts1 4G 70000000 
20230202 02 bts5 4G 70000005 
20230202 02 bts2 4G 70000006 
20230202 02 bts3 4G 70000007 
20230202 02 bts4 4G 70000008 
20230202 02 bts6 4G 70000009 
20230202 02 bts7 4G 70000010 
20230202 02 bts8 4G 70000011 
20230202 02 bts9 4G 70000012 
20230202 02 bts10 4G 70000013 
20230202 02 bts11 4G 70000014 
20230202 02 bts1 4G 70000015 
20230202 02 bts2 4G 70000016 
20230202 02 bts3 4G 70000017 
20230202 02 bts4 4G 70000018 
20230202 02 bts1 4G 70000019 
20230202 02 bts5 4G 70000023 
20230202 02 bts2 4G 70000024 
20230202 02 bts3 4G 70000025 
20230202 02 bts4 4G 70000026 
20230202 02 bts6 4G 70000027 
20230202 02 bts7 4G 70000028 
20230202 02 bts8 4G 70000029 
20230202 02 bts9 4G 70000030 
20230202 02 bts10 4G 70000031 
20230202 02 bts11 4G 70000032 
20230202 02 bts1 4G 70000000 
20230202 02 bts5 4G 70000005 
20230202 02 bts2 4G 70000006 
20230202 02 bts3 4G 70000007 
20230202 02 bts4 4G 70000008 
20230202 02 bts6 4G 70000009 
20230202 02 bts7 4G 70000010 
20230202 02 bts8 4G 70000011 
20230202 02 bts9 4G 70000012 
20230202 02 bts10 4G 70000013 
20230202 02 bts11 4G 70000014 
20230202 02 bts1 4G 70000015 
20230202 02 bts2 4G 70000016 
20230202 02 bts3 4G 70000017 
20230202 02 bts4 4G 70000018 
20230202 02 bts1 4G 70000019 
20230202 02 bts5 4G 70000023 
20230202 02 bts2 4G 70000024 
20230202 02 bts3 4G 70000025 
20230202 02 bts4 4G 70000026 
20230202 02 bts6 4G 70000027 
20230202 02 bts7 4G 70000028 
20230202 02 bts8 4G 70000029 
20230202 02 bts9 4G 70000030 
20230202 02 bts10 4G 70000031 
20230202 02 bts11 4G 70000032 
20230202 02 bts1 4G 70000000 
20230202 02 bts5 4G 70000005 
20230202 02 bts2 4G 70000006 
20230202 02 bts3 4G 70000007 
20230202 02 bts4 4G 70000008 
20230202 02 bts6 4G 70000009 
20230202 02 bts7 4G 70000010 
20230202 02 bts8 4G 70000011 
20230202 02 bts9 4G 70000012 
20230202 02 bts10 4G 70000013 
20230202 02 bts11 4G 70000014 
20230202 02 bts1 4G 70000015 
20230202 02 bts2 4G 70000016 
20230202 02 bts3 4G 70000017 
20230202 02 bts4 4G 70000018 
20230202 02 bts1 4G 70000019 
20230202 02 bts5 4G 70000023 
